,target_name,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,best_max_depth,best_min_samples_split,best_n_estimators
S_IL2_score_21050467,S_IL2_score_21050467,0.6099821018902143,0.07675115482219286,0.010708305917575323,0.015613265505117983,0.008697105109953057,0.012353557472752819,10.0,10,200
S_IL13_score_21050467,S_IL13_score_21050467,0.5477159149042593,0.013752961370567807,0.01639102945777218,0.02551201055005868,0.012967447836188872,0.019937440434764118,10.0,10,300
S_IFNG_score_21050467,S_IFNG_score_21050467,0.6171240396559292,0.06938301740223685,0.007418411154737862,0.01107859859238745,0.005981312418325015,0.008950916915189799,10.0,10,200
S_TGFB_score_21050467,S_TGFB_score_21050467,0.5352807329576916,-0.028971845039116984,0.007844286957690683,0.011057008392263359,0.005729797894157261,0.00866871560317207,10.0,10,200
S_TREM1_data,S_TREM1_data,0.563999065165598,0.07441031387216179,0.03738960649720762,0.04892365565449736,0.02883544216294451,0.03898939347959199,10.0,10,100
S_DAP12_data,S_DAP12_data,0.6115416954672697,-0.03946905730416539,0.024527330166106108,0.038431614001635805,0.018148654071538997,0.029794946373395546,20.0,10,100
S_Tcell_receptors_score,S_Tcell_receptors_score,0.6243512232874648,0.08480775781186423,0.03597566975934564,0.057517583022237646,0.028095126422769574,0.042850173570460705,10.0,10,100
S_IL8_21978456,S_IL8_21978456,0.5892350400783299,0.07432949816850365,0.03973299974029914,0.05836209769298555,0.030612291564449005,0.04430070534614413,10.0,10,200
S_IFN_21978456,S_IFN_21978456,0.5464803553075698,-0.03271348804589391,0.03019724846598813,0.045588900772031954,0.0251855516156872,0.037845547860457525,10.0,10,300
S_MHC1_21978456,S_MHC1_21978456,0.5940485626080725,0.028437515460589813,0.010110124150141711,0.016355863039996914,0.007945491243379819,0.013125732208458984,10.0,10,300
S_MHC2_21978456,S_MHC2_21978456,0.5319130281385542,0.009538892253402098,0.015623903114674164,0.02721759246983418,0.010746566739157241,0.01815116526366289,10.0,10,300
S_Bcell_21978456,S_Bcell_21978456,0.5533509332308997,0.0017970898776935584,0.03988552575821566,0.06640828688094963,0.029561144104746133,0.04851487530784399,10.0,10,100
S_Tcell_21978456,S_Tcell_21978456,0.6335608453881799,0.10142778420405696,0.03163823886224209,0.048655736352457256,0.02612651290664673,0.03960118492184055,10.0,10,200
S_CD103pos_mean_25446897,S_CD103pos_mean_25446897,0.5961341562401627,0.024363870759276485,0.023485838726078175,0.037160900428893195,0.018435468427163246,0.027358510423459177,10.0,10,100
S_CD103neg_mean_25446897,S_CD103neg_mean_25446897,0.5848142319062278,-0.001108213661131341,0.015032764524772287,0.023530030319518894,0.011723815461348418,0.01788186387722304,10.0,10,300
S_IgG_19272155,S_IgG_19272155,0.5783808486083604,0.015790009404889505,0.041354260581074415,0.0679045385282407,0.03239566390037651,0.050774005126930616,10.0,10,100
S_Interferon_19272155,S_Interferon_19272155,0.5182428377128374,-0.025275707445888695,0.0286716042706273,0.04168863879769565,0.02332122329296365,0.03445149450317477,10.0,10,300
S_LCK_19272155,S_LCK_19272155,0.6430225227368724,0.09237145741159769,0.028941138814998994,0.04501548997840257,0.02354520753517487,0.03608494378729081,10.0,10,300
S_MHC.I_19272155,S_MHC.I_19272155,0.5780837815159836,0.006961291534174241,0.010901025473769747,0.01723166159109303,0.008434376354920992,0.013931296119798943,10.0,10,300
S_MHC.II_19272155,S_MHC.II_19272155,0.5662988834194882,0.054166183897491504,0.014788763449999453,0.025176815541737837,0.010702593261362263,0.017112587647425882,10.0,10,300
S_STAT1_19272155,S_STAT1_19272155,0.6317143108611392,0.06852152605981299,0.028706221220983447,0.04531534123739358,0.023696655034709344,0.03625431102347898,10.0,10,300
S_Troester_WoundSig_19887484,S_Troester_WoundSig_19887484,0.5144983747435188,0.0688072926917932,0.011772099186159622,0.017677491149462432,0.009319184449527841,0.014368484809921372,10.0,10,300
S_MDACC.FNA.1_20805453,S_MDACC.FNA.1_20805453,0.6067021171981369,-0.021818450341265727,0.01755487562287897,0.0293221488900972,0.014057975594051622,0.022545815815473404,10.0,10,300
S_IGG_Cluster_21214954,S_IGG_Cluster_21214954,0.6232756807762553,0.06464190024669514,0.03432469440125427,0.05428575659213123,0.02810070801105969,0.0426430588278704,10.0,10,100
S_Minterferon_Cluster_21214954,S_Minterferon_Cluster_21214954,0.5851287331090138,-0.01941338783324409,0.019935147113829738,0.03087898215928894,0.01645157652692824,0.02483283310168892,10.0,10,300
S_Immune_cell_Cluster_21214954,S_Immune_cell_Cluster_21214954,0.6483718919842154,0.12263780037392102,0.022934593068361014,0.03542234379807724,0.018737195470065988,0.02837508576324722,10.0,10,300
S_MCD3_CD8_21214954,S_MCD3_CD8_21214954,0.5894642876858232,0.022515657066954686,0.0270713262852747,0.04356110427326771,0.02218609780100508,0.03508116836899885,10.0,10,100
S_Interferon_Cluster_21214954,S_Interferon_Cluster_21214954,0.5582611871394036,-0.022707744370030092,0.02193571105091126,0.03315132784169006,0.018378022045983995,0.027629496975469885,10.0,10,200
S_B_cell_PCA_16704732,S_B_cell_PCA_16704732,0.623533939609936,0.08223102031027707,0.008823228634568718,0.014006957173396763,0.007163125927723451,0.01099129793293563,10.0,10,200
S_CD8_PCA_16704732,S_CD8_PCA_16704732,0.6065129890067977,0.07417797070132204,0.025061076915897835,0.036090412470271345,0.02016132758501747,0.02811774763504401,10.0,10,100
S_GRANS_PCA_16704732,S_GRANS_PCA_16704732,0.5918375340631897,-0.0045425005768671145,0.0051019654029082935,0.008182193016393318,0.00391069521907263,0.006386986786218566,10.0,10,100
S_LYMPHS_PCA_16704732,S_LYMPHS_PCA_16704732,0.5980182637171341,0.11012896397788874,0.003018239629327255,0.004508857498285131,0.002382385085530007,0.003526343421550269,10.0,10,100
S_T_cell_PCA_16704732,S_T_cell_PCA_16704732,0.6142955665824422,0.07856005790961806,0.008932764234723268,0.01461559621470307,0.007166725240213949,0.011202848104492612,10.0,10,200
S_TGFB_PCA_17349583,S_TGFB_PCA_17349583,0.514643235821185,-0.14038006351262045,0.010341124635050651,0.01517698218063291,0.00786942241736724,0.012022960232365173,10.0,10,100
S_Rotterdam_ERneg_PCA_15721472,S_Rotterdam_ERneg_PCA_15721472,0.5408661318879127,-0.016409464491873527,0.013415222582172254,0.01930009537361697,0.010257702998106211,0.014824129719550924,10.0,10,300
S_HER2_Immune_PCA_18006808,S_HER2_Immune_PCA_18006808,0.6440871348115345,0.08342308511962826,0.011535411850067068,0.018462017083775484,0.009383304347616452,0.014786014975336874,10.0,10,200
S_IR7_score,S_IR7_score,0.5565615284729206,-0.030766215981536726,0.029385755027338683,0.04722416580608201,0.021146943251870207,0.03334205739155012,10.0,10,300
S_Buck14_score,S_Buck14_score,0.5210753668632344,-0.019794482086014087,0.016217524465884647,0.0248932896663767,0.01284083122247171,0.019558716912526385,10.0,10,200
S_TAMsurr_score,S_TAMsurr_score,0.6965458236628562,0.1003488265250444,0.03427678987531738,0.061194786844596595,0.027751374045678973,0.046520451755868934,,10,300
S_Immune_NSCLC_score,S_Immune_NSCLC_score,0.5815145790096032,0.03603194273557364,0.008468495230781529,0.012195194810738424,0.006480217517523789,0.009742961120832965,10.0,10,200
S_Module3_IFN_score,S_Module3_IFN_score,0.5597702295201911,-0.02911384166816222,0.02695941499775518,0.04131573081124529,0.022438072243001112,0.03400456920982134,10.0,10,300
S_Module4_TcellBcell_score,S_Module4_TcellBcell_score,0.64070154540481,0.07654812171640413,0.028771777390101803,0.04701981296422116,0.02329229931790486,0.036800077416595925,10.0,10,100
S_Module5_TcellBcell_score,S_Module5_TcellBcell_score,0.6471366490674351,0.1066047717826274,0.027662878573703878,0.043810586188531585,0.02250953353457862,0.03431826223250623,10.0,10,200
S_Module11_Prolif_score,S_Module11_Prolif_score,0.7497698234074759,0.30421524136066613,0.015848610660747848,0.02844247388517675,0.012594585876187461,0.02237275251872617,30.0,10,300
S_CD8_CD68_ratio,S_CD8_CD68_ratio,0.5802543584159274,-0.0797928037743203,0.03897609869531292,0.06265741542305059,0.028751456782943035,0.045522619740640556,10.0,10,300
S_TAMsurr_TcClassII_ratio,S_TAMsurr_TcClassII_ratio,0.6328307795756908,0.07836038236075415,0.02263474273922789,0.036597467739193514,0.018068012672790845,0.026876685354884054,10.0,10,100
S_CHANG_CORE_SERUM_RESPONSE_UP,S_CHANG_CORE_SERUM_RESPONSE_UP,0.677610245335867,0.34322117791051965,0.00519544281705765,0.008153896508944533,0.004220898524885752,0.006469562620211342,10.0,10,200
S_CSR_Activated_15701700,S_CSR_Activated_15701700,0.6451697184976094,0.13736050615660889,0.0031569886697492906,0.004635126022719624,0.002460289924314651,0.0036279220641858073,10.0,10,300
S_B_cells,S_B_cells,0.5974681075660703,-0.00831739215893057,0.0271534578540102,0.041986270943189734,0.020888083030798043,0.03198195287931218,10.0,10,100
S_T_cells,S_T_cells,0.6210066941680215,0.0847561821183479,0.030976958567417726,0.04906975257793184,0.02515233680117391,0.03759537331702937,10.0,10,200
S_T_helper,S_T_helper,0.5567636818822036,0.007334112556777406,0.007188928273275061,0.011190394625647642,0.005604817546271485,0.00878067930658079,10.0,10,200
S_Tcm,S_Tcm,0.459104508819689,0.06851363793957399,0.010961851063101788,0.015554871182185442,0.008051074447448174,0.011895385563770589,10.0,10,300
S_Tem,S_Tem,0.5703182990317579,-0.12175447697699493,0.012413928514176798,0.01919563139732581,0.010030505881968339,0.01517061563414855,10.0,10,300
S_Th1,S_Th1,0.6224205664923921,0.12773559848269422,0.013615535956204055,0.020966456421606234,0.010619943386832717,0.015236001062727442,10.0,10,300
S_Th2,S_Th2,0.6113037707681608,0.02993185706089263,0.009471250854785989,0.016179137645560282,0.007347717670314231,0.01311721956642188,10.0,10,200
S_TFH,S_TFH,0.5909723857308029,0.08603101831007454,0.009803490634287093,0.016044084399025205,0.0075637978164841855,0.011965383043938203,10.0,10,100
